B1,B2,A1,B3,B4,B5,B6,B7,B8,A2,class
14 ,11 ,1 ,22221 ,23535 ,14 ,9 ,2269 ,1836 ,3 ,0 
9 ,7 ,1 ,19984 ,23362 ,13 ,9 ,1970 ,1665 ,3 ,0 
8 ,6 ,1 ,21046 ,23821 ,14 ,7 ,2141 ,1223 ,3 ,0 
19 ,29 ,1 ,22159 ,23626 ,15 ,10 ,2334 ,1802 ,3 ,0 
22 ,37 ,1 ,22885 ,24036 ,13 ,9 ,2138 ,1790 ,3 ,0 
15 ,25 ,1 ,21803 ,23968 ,13 ,8 ,2108 ,1743 ,3 ,0 
17 ,34 ,1 ,19574 ,21737 ,7 ,6 ,969 ,1104 ,3 ,0 
11 ,10 ,1 ,20136 ,22519 ,12 ,10 ,1525 ,1481 ,3 ,0 
12 ,22 ,1 ,16515 ,20378 ,10 ,11 ,1471 ,1676 ,3 ,0 
30 ,46 ,1 ,19878 ,23631 ,8 ,6 ,1509 ,1933 ,3 ,0 
19 ,33 ,1 ,20598 ,23763 ,13 ,9 ,2025 ,1356 ,3 ,0 
19 ,31 ,1 ,20456 ,23616 ,15 ,10 ,2182 ,1705 ,3 ,0 
11 ,12 ,1 ,20470 ,23523 ,13 ,7 ,1986 ,1218 ,3 ,0 
15 ,22 ,1 ,14349 ,19634 ,12 ,9 ,1996 ,1920 ,3 ,0 
27 ,38 ,1 ,19401 ,21889 ,14 ,7 ,2265 ,1729 ,3 ,0 
12 ,13 ,1 ,16585 ,22960 ,13 ,10 ,1924 ,1586 ,3 ,0 
19 ,31 ,1 ,19486 ,23465 ,11 ,8 ,1495 ,1333 ,3 ,0 
8 ,7 ,1 ,18515 ,21202 ,12 ,10 ,1834 ,1725 ,3 ,0 
32 ,44 ,1 ,20233 ,24295 ,11 ,8 ,1934 ,1924 ,3 ,0 
12 ,8 ,1 ,18711 ,21468 ,18 ,9 ,2392 ,1362 ,3 ,0 
17 ,29 ,1 ,16795 ,20993 ,11 ,9 ,1991 ,1791 ,3 ,0 
