B1,B2,A1,B3,B4,B5,B6,B7,B8,A2,class
19 ,33 ,1 ,15159 ,19583 ,12 ,10 ,1805 ,1745 ,3 ,0 
11 ,8 ,1 ,18363 ,22122 ,14 ,10 ,2140 ,1641 ,3 ,0 
20 ,25 ,1 ,13134 ,17309 ,15 ,9 ,2456 ,1669 ,3 ,0 
21 ,33 ,1 ,21736 ,22794 ,12 ,8 ,1771 ,1300 ,3 ,0 
7 ,5 ,1 ,21916 ,23210 ,11 ,8 ,1747 ,1507 ,3 ,0 
10 ,6 ,1 ,16299 ,21163 ,15 ,8 ,2257 ,1405 ,3 ,0 
23 ,39 ,1 ,21399 ,23852 ,11 ,7 ,1951 ,1713 ,3 ,0 
13 ,14 ,1 ,19562 ,22992 ,15 ,8 ,2284 ,1328 ,3 ,0 
24 ,36 ,1 ,19514 ,23476 ,17 ,7 ,2844 ,1860 ,3 ,0 
17 ,27 ,1 ,17737 ,21841 ,13 ,9 ,1919 ,1740 ,3 ,0 
11 ,8 ,1 ,21895 ,25127 ,14 ,7 ,2185 ,1369 ,3 ,0 
10 ,14 ,1 ,22242 ,24630 ,11 ,10 ,1575 ,1649 ,3 ,0 
19 ,40 ,2 ,20574 ,24050 ,7 ,7 ,1368 ,1893 ,3 ,0 
7 ,7 ,3 ,19379 ,21477 ,10 ,10 ,1516 ,1429 ,3 ,0 
10 ,7 ,2 ,18392 ,21029 ,15 ,9 ,2361 ,1558 ,3 ,0 
12 ,11 ,1 ,19832 ,23390 ,14 ,8 ,2158 ,1607 ,3 ,0 
17 ,32 ,1 ,12646 ,18920 ,8 ,9 ,1247 ,1713 ,10 ,0 
16 ,32 ,1 ,19510 ,23590 ,13 ,7 ,2100 ,1044 ,3 ,0 
27 ,46 ,1 ,17439 ,19819 ,12 ,7 ,1999 ,1775 ,3 ,0 
12 ,9 ,1 ,25600 ,27301 ,15 ,10 ,2175 ,1495 ,3 ,0 
17 ,31 ,1 ,17681 ,20733 ,12 ,9 ,1568 ,1451 ,3 ,0 
7 ,7 ,1 ,19161 ,20145 ,11 ,10 ,1440 ,1438 ,3 ,0 
16 ,9 ,1 ,16626 ,21626 ,18 ,8 ,2583 ,1322 ,3 ,0 
21 ,35 ,1 ,19892 ,22806 ,13 ,10 ,2126 ,2004 ,3 ,0 
11 ,12 ,1 ,16942 ,21742 ,12 ,10 ,1711 ,1548 ,3 ,0 
20 ,34 ,1 ,19231 ,21547 ,11 ,8 ,1694 ,1378 ,3 ,0 
10 ,10 ,1 ,14616 ,19103 ,9 ,7 ,1464 ,1385 ,3 ,0 
13 ,7 ,1 ,19681 ,23270 ,18 ,9 ,2536 ,1351 ,3 ,0 
19 ,39 ,1 ,13252 ,15701 ,8 ,7 ,1647 ,2337 ,3 ,0 
18 ,37 ,1 ,14511 ,17902 ,13 ,10 ,1800 ,1434 ,3 ,0 
48 ,58 ,1 ,14540 ,20097 ,8 ,7 ,1790 ,2554 ,3 ,0 
21 ,30 ,1 ,19387 ,21942 ,15 ,10 ,2361 ,2064 ,3 ,0 
20 ,35 ,1 ,20061 ,23485 ,8 ,9 ,1273 ,1560 ,3 ,0 
35 ,59 ,1 ,15157 ,20168 ,13 ,9 ,2196 ,1795 ,3 ,0 
31 ,68 ,1 ,19053 ,22161 ,12 ,8 ,1870 ,1594 ,3 ,0 
15 ,24 ,1 ,14182 ,18591 ,11 ,10 ,1672 ,1597 ,3 ,0 
22 ,30 ,1 ,20529 ,22140 ,15 ,9 ,2218 ,1438 ,3 ,0 
7 ,6 ,1 ,18802 ,21444 ,13 ,8 ,1941 ,1352 ,3 ,0 
26 ,40 ,1 ,18674 ,20835 ,11 ,8 ,1559 ,1391 ,3 ,0 
0 ,0 ,1 ,26642 ,22073 ,7 ,1 ,590 ,70 ,3 ,1 
11 ,7 ,1 ,17186 ,22077 ,15 ,10 ,2097 ,1406 ,3 ,0 
3 ,24 ,1 ,32261 ,25136 ,7 ,1 ,594 ,137 ,3 ,1 
10 ,7 ,1 ,20560 ,23988 ,16 ,9 ,2273 ,1323 ,3 ,0 
19 ,49 ,1 ,21872 ,24518 ,11 ,10 ,1464 ,1483 ,3 ,0 
11 ,10 ,1 ,16409 ,21263 ,12 ,10 ,1612 ,1516 ,3 ,0 
16 ,27 ,1 ,19763 ,21700 ,12 ,8 ,2066 ,1811 ,3 ,0 
14 ,22 ,1 ,20595 ,23451 ,12 ,7 ,2151 ,1908 ,3 ,0 
15 ,9 ,1 ,18263 ,21234 ,16 ,9 ,2291 ,1407 ,3 ,0 
18 ,29 ,1 ,19202 ,22331 ,15 ,7 ,2473 ,1479 ,3 ,0 
24 ,21 ,1 ,20992 ,24308 ,16 ,9 ,2721 ,1781 ,3 ,0 
9 ,8 ,1 ,16476 ,20359 ,14 ,10 ,1901 ,1493 ,3 ,0 
13 ,18 ,1 ,23401 ,24517 ,13 ,9 ,1997 ,1495 ,3 ,0 
19 ,35 ,1 ,22208 ,24166 ,10 ,8 ,1328 ,1358 ,3 ,0 
9 ,8 ,1 ,19198 ,21785 ,12 ,9 ,1750 ,1472 ,3 ,0 
6 ,7 ,1 ,17912 ,21479 ,10 ,10 ,1477 ,1588 ,3 ,0 
34 ,50 ,1 ,14392 ,19066 ,8 ,8 ,1262 ,1663 ,3 ,0 
16 ,21 ,1 ,22418 ,23776 ,14 ,8 ,2425 ,1743 ,3 ,0 
7 ,8 ,1 ,13160 ,18663 ,12 ,8 ,1958 ,1389 ,3 ,0 
8 ,10 ,1 ,17533 ,21230 ,10 ,10 ,1384 ,1496 ,3 ,0 
8 ,6 ,1 ,18640 ,21686 ,13 ,8 ,1898 ,1301 ,3 ,0 
18 ,30 ,1 ,15927 ,20147 ,12 ,9 ,2033 ,1893 ,3 ,0 
14 ,14 ,1 ,21014 ,23756 ,10 ,9 ,1821 ,1872 ,3 ,0 
7 ,7 ,1 ,22658 ,23905 ,11 ,10 ,1628 ,1536 ,3 ,0 
25 ,39 ,1 ,20901 ,23563 ,13 ,9 ,2321 ,2161 ,3 ,0 
9 ,9 ,1 ,18594 ,22563 ,12 ,9 ,1880 ,1463 ,3 ,0 
21 ,35 ,1 ,18111 ,22030 ,13 ,9 ,2069 ,1602 ,3 ,0 
13 ,26 ,1 ,21986 ,23723 ,9 ,9 ,1582 ,2031 ,3 ,0 
14 ,28 ,1 ,16194 ,19040 ,12 ,11 ,1635 ,1635 ,3 ,0 
9 ,10 ,1 ,16812 ,21194 ,11 ,9 ,1780 ,1613 ,3 ,0 
17 ,28 ,1 ,20510 ,22484 ,13 ,8 ,2152 ,1785 ,3 ,0 
13 ,11 ,1 ,18427 ,21922 ,16 ,9 ,2297 ,1420 ,3 ,0 
18 ,18 ,1 ,18508 ,22006 ,16 ,8 ,2646 ,1678 ,3 ,0 
5 ,7 ,1 ,18004 ,21543 ,9 ,9 ,1298 ,1435 ,3 ,0 
8 ,6 ,2 ,19797 ,22604 ,12 ,9 ,1807 ,1543 ,3 ,0 
15 ,29 ,3 ,19743 ,22874 ,8 ,7 ,1265 ,1405 ,3 ,0 
8 ,7 ,1 ,20340 ,22523 ,10 ,8 ,1390 ,1309 ,3 ,0 
20 ,37 ,1 ,18352 ,21652 ,11 ,8 ,1916 ,1961 ,3 ,0 
23 ,37 ,1 ,15429 ,19050 ,16 ,9 ,2469 ,1933 ,3 ,0 
14 ,27 ,1 ,19315 ,23538 ,11 ,8 ,1741 ,1849 ,3 ,0 
9 ,32 ,1 ,32544 ,24811 ,6 ,1 ,628 ,227 ,3 ,1 
96 ,48 ,1 ,32853 ,25037 ,6 ,1 ,587 ,41 ,3 ,1 
15 ,25 ,1 ,17156 ,20050 ,11 ,7 ,2029 ,1812 ,3 ,0 
25 ,38 ,1 ,20234 ,24262 ,10 ,8 ,1860 ,2002 ,3 ,0 
17 ,32 ,1 ,21112 ,23318 ,12 ,9 ,2104 ,1920 ,3 ,0 
26 ,37 ,1 ,17941 ,23040 ,17 ,9 ,2917 ,2007 ,3 ,0 
14 ,17 ,1 ,22657 ,24538 ,12 ,9 ,2015 ,1518 ,3 ,0 
11 ,7 ,1 ,17886 ,22407 ,16 ,9 ,2269 ,1257 ,3 ,0 
18 ,30 ,1 ,21827 ,23274 ,12 ,9 ,2241 ,2159 ,3 ,0 
15 ,32 ,1 ,19881 ,23275 ,11 ,9 ,1840 ,2062 ,3 ,0 
18 ,24 ,1 ,19134 ,21491 ,18 ,8 ,2845 ,1427 ,3 ,0 
16 ,24 ,1 ,15828 ,18813 ,13 ,9 ,2034 ,1610 ,3 ,0 
9 ,8 ,1 ,17454 ,21968 ,14 ,10 ,1917 ,1476 ,3 ,0 
26 ,42 ,1 ,20908 ,21306 ,10 ,9 ,1793 ,1878 ,3 ,0 
8 ,6 ,1 ,20237 ,23402 ,14 ,8 ,2190 ,1303 ,3 ,0 
26 ,39 ,1 ,19197 ,22518 ,13 ,6 ,2501 ,2097 ,3 ,0 
7 ,7 ,1 ,18816 ,21915 ,10 ,9 ,1531 ,1456 ,3 ,0 
26 ,36 ,1 ,16618 ,20805 ,18 ,8 ,2952 ,1817 ,3 ,0 
7 ,7 ,1 ,22909 ,23736 ,11 ,10 ,1683 ,1553 ,3 ,0 
19 ,29 ,1 ,20211 ,20453 ,13 ,7 ,2284 ,1695 ,3 ,0 
24 ,40 ,1 ,20326 ,24491 ,10 ,7 ,1695 ,1701 ,3 ,0 
9 ,8 ,1 ,17271 ,20534 ,12 ,10 ,1772 ,1561 ,3 ,0 
35 ,65 ,1 ,18752 ,21334 ,10 ,7 ,1833 ,1826 ,3 ,0 
7 ,6 ,1 ,21717 ,23540 ,13 ,8 ,1916 ,1257 ,3 ,0 
22 ,35 ,1 ,19690 ,21571 ,14 ,7 ,2689 ,1917 ,3 ,0 
15 ,25 ,1 ,19781 ,23139 ,15 ,8 ,2348 ,1358 ,3 ,0 
6 ,7 ,1 ,13163 ,18301 ,11 ,9 ,1657 ,1413 ,3 ,0 
1 ,7 ,1 ,32718 ,24918 ,6 ,1 ,866 ,504 ,3 ,1 
0 ,0 ,1 ,32692 ,24926 ,6 ,1 ,812 ,465 ,3 ,1 
11 ,8 ,1 ,21307 ,23789 ,16 ,8 ,2342 ,1225 ,3 ,0 
8 ,8 ,1 ,18118 ,20078 ,12 ,10 ,1675 ,1534 ,3 ,0 
10 ,8 ,1 ,18128 ,21524 ,13 ,10 ,1873 ,1478 ,3 ,0 
21 ,37 ,1 ,19532 ,21448 ,11 ,9 ,1464 ,1375 ,3 ,0 
12 ,15 ,1 ,22821 ,25525 ,13 ,9 ,1976 ,1521 ,3 ,0 
13 ,27 ,1 ,22835 ,23520 ,10 ,8 ,1502 ,1473 ,3 ,0 
19 ,27 ,1 ,18638 ,23719 ,14 ,9 ,2127 ,1611 ,3 ,0 
30 ,37 ,1 ,17515 ,22113 ,9 ,8 ,1427 ,1824 ,6 ,0 
10 ,7 ,1 ,17460 ,21438 ,14 ,9 ,2211 ,1502 ,3 ,0 
10 ,6 ,1 ,17428 ,22792 ,17 ,7 ,2455 ,1083 ,3 ,0 
9 ,5 ,1 ,19341 ,21156 ,15 ,7 ,2279 ,1290 ,3 ,0 
5 ,5 ,1 ,17780 ,21798 ,8 ,7 ,1176 ,1187 ,3 ,0 
9 ,6 ,1 ,17266 ,19207 ,12 ,8 ,1983 ,1386 ,3 ,0 
16 ,27 ,1 ,20229 ,21550 ,14 ,9 ,2048 ,1529 ,3 ,0 
19 ,30 ,1 ,18076 ,21965 ,13 ,8 ,1917 ,1480 ,3 ,0 
23 ,36 ,1 ,20841 ,24180 ,13 ,8 ,2258 ,1803 ,3 ,0 
14 ,27 ,1 ,15119 ,19412 ,9 ,8 ,1496 ,1625 ,3 ,0 
23 ,32 ,1 ,20547 ,21383 ,13 ,10 ,2181 ,2194 ,3 ,0 
21 ,36 ,1 ,16610 ,22145 ,13 ,8 ,1946 ,1382 ,3 ,0 
14 ,7 ,1 ,19323 ,21849 ,18 ,8 ,2637 ,1232 ,3 ,0 
34 ,44 ,1 ,16127 ,21222 ,13 ,10 ,1856 ,1686 ,3 ,0 
10 ,7 ,1 ,19916 ,22925 ,14 ,9 ,2156 ,1439 ,3 ,0 
13 ,9 ,1 ,18048 ,21970 ,14 ,9 ,2027 ,1421 ,3 ,0 
7 ,5 ,2 ,16059 ,18583 ,11 ,7 ,1653 ,1414 ,3 ,0 
10 ,7 ,3 ,20842 ,22449 ,14 ,9 ,2257 ,1657 ,3 ,0 
30 ,41 ,1 ,16684 ,21948 ,16 ,8 ,2846 ,1750 ,3 ,0 
5 ,5 ,1 ,17862 ,21347 ,9 ,8 ,1302 ,1313 ,3 ,0 
16 ,24 ,1 ,20155 ,23149 ,16 ,9 ,2317 ,1377 ,3 ,0 
14 ,27 ,1 ,22543 ,24525 ,11 ,8 ,1628 ,1250 ,3 ,0 
25 ,38 ,1 ,21435 ,23095 ,13 ,9 ,2184 ,1982 ,3 ,0 
19 ,30 ,1 ,16398 ,19936 ,16 ,6 ,2407 ,1045 ,3 ,0 
25 ,38 ,1 ,19290 ,21424 ,9 ,8 ,1546 ,1728 ,3 ,0 
16 ,31 ,1 ,19061 ,21322 ,11 ,8 ,1994 ,1834 ,3 ,0 
31 ,48 ,1 ,16176 ,21009 ,10 ,7 ,1633 ,1307 ,3 ,0 
9 ,7 ,1 ,17951 ,21314 ,15 ,9 ,2244 ,1331 ,3 ,0 
27 ,36 ,1 ,20563 ,25030 ,19 ,7 ,2886 ,1206 ,3 ,0 
11 ,10 ,1 ,18055 ,21199 ,13 ,9 ,2250 ,1603 ,3 ,0 
75 ,91 ,1 ,17618 ,22683 ,6 ,6 ,636 ,974 ,3 ,0 
9 ,8 ,1 ,20538 ,22112 ,15 ,9 ,2184 ,1313 ,3 ,0 
14 ,15 ,1 ,17819 ,23046 ,16 ,9 ,2564 ,1518 ,3 ,0 
30 ,44 ,1 ,21228 ,23421 ,13 ,7 ,2393 ,1849 ,3 ,0 
16 ,21 ,1 ,22142 ,23936 ,14 ,9 ,2390 ,1744 ,3 ,0 
6 ,6 ,1 ,15920 ,20718 ,10 ,9 ,1403 ,1376 ,3 ,0 
10 ,10 ,1 ,18754 ,22957 ,12 ,10 ,1883 ,1847 ,3 ,0 
9 ,9 ,1 ,16546 ,20295 ,10 ,9 ,1376 ,1375 ,3 ,0 
16 ,30 ,1 ,17688 ,20925 ,11 ,10 ,1714 ,1802 ,3 ,0 
10 ,41 ,1 ,24411 ,22227 ,7 ,2 ,621 ,152 ,3 ,1 
19 ,17 ,1 ,19953 ,23449 ,15 ,9 ,2224 ,1535 ,3 ,0 
30 ,48 ,1 ,16722 ,19421 ,14 ,8 ,2359 ,1829 ,3 ,0 
27 ,43 ,1 ,17377 ,22022 ,12 ,8 ,1684 ,1434 ,3 ,0 
12 ,10 ,1 ,17064 ,19257 ,15 ,8 ,2199 ,1338 ,3 ,0 
24 ,42 ,1 ,19665 ,21731 ,12 ,8 ,1831 ,1521 ,3 ,0 
24 ,33 ,1 ,21932 ,24009 ,14 ,7 ,2445 ,1868 ,3 ,0 
0 ,0 ,1 ,33050 ,25323 ,6 ,1 ,863 ,499 ,3 ,1 
26 ,38 ,1 ,17494 ,22587 ,10 ,8 ,1716 ,1743 ,3 ,0 
7 ,7 ,1 ,20538 ,24326 ,10 ,9 ,1554 ,1481 ,3 ,0 
26 ,40 ,1 ,14643 ,18833 ,12 ,9 ,1968 ,1607 ,3 ,0 
20 ,30 ,1 ,17450 ,21064 ,15 ,9 ,2185 ,1651 ,3 ,0 
0 ,0 ,1 ,32702 ,24901 ,7 ,1 ,589 ,70 ,3 ,1 
0 ,0 ,1 ,32684 ,24918 ,6 ,1 ,590 ,70 ,3 ,1 
0 ,0 ,1 ,32584 ,24809 ,6 ,1 ,626 ,14 ,3 ,1 
0 ,0 ,1 ,33219 ,25420 ,7 ,1 ,627 ,13 ,3 ,1 
14 ,28 ,1 ,20737 ,22802 ,12 ,7 ,1885 ,1459 ,3 ,0 
23 ,29 ,1 ,16335 ,18704 ,17 ,10 ,2532 ,1694 ,3 ,0 
14 ,10 ,1 ,16898 ,21709 ,14 ,9 ,2093 ,1672 ,3 ,0 
9 ,7 ,1 ,16992 ,21643 ,15 ,9 ,2213 ,1550 ,3 ,0 
20 ,33 ,1 ,21537 ,23976 ,12 ,10 ,2043 ,2107 ,3 ,0 
26 ,38 ,1 ,20179 ,22059 ,10 ,8 ,1717 ,1878 ,3 ,0 
16 ,32 ,1 ,21931 ,25633 ,10 ,9 ,1646 ,1965 ,3 ,0 
10 ,7 ,1 ,19531 ,21408 ,14 ,9 ,1946 ,1319 ,3 ,0 
26 ,37 ,1 ,19234 ,22134 ,15 ,7 ,2299 ,1342 ,3 ,0 
18 ,36 ,1 ,21218 ,22820 ,10 ,9 ,1366 ,1479 ,3 ,0 
16 ,30 ,1 ,19877 ,21824 ,12 ,8 ,1844 ,1508 ,3 ,0 
10 ,6 ,1 ,19015 ,22888 ,16 ,8 ,2504 ,1263 ,3 ,0 
26 ,36 ,1 ,18192 ,21193 ,14 ,8 ,2542 ,2139 ,3 ,0 
16 ,13 ,1 ,22283 ,23994 ,17 ,9 ,2625 ,1400 ,3 ,0 
23 ,36 ,1 ,17654 ,21726 ,12 ,10 ,1788 ,1470 ,3 ,0 
20 ,30 ,1 ,12214 ,15356 ,15 ,9 ,2435 ,1947 ,3 ,0 
26 ,38 ,1 ,20496 ,21696 ,15 ,8 ,2385 ,1619 ,3 ,0 
17 ,26 ,1 ,21084 ,22022 ,14 ,7 ,2453 ,1788 ,3 ,0 
27 ,44 ,1 ,17413 ,21145 ,13 ,7 ,2203 ,1675 ,3 ,0 
16 ,25 ,1 ,19640 ,23086 ,16 ,8 ,2622 ,1605 ,3 ,0 
31 ,59 ,1 ,17919 ,22266 ,10 ,8 ,1713 ,1987 ,3 ,0 
27 ,41 ,1 ,17024 ,21314 ,14 ,7 ,2363 ,1608 ,3 ,0 
25 ,37 ,1 ,15686 ,20389 ,12 ,9 ,1775 ,1356 ,3 ,0 
9 ,7 ,1 ,18256 ,21530 ,14 ,8 ,2339 ,1567 ,3 ,0 
9 ,8 ,1 ,22018 ,24459 ,13 ,10 ,1962 ,1578 ,3 ,0 
26 ,40 ,1 ,16659 ,20614 ,14 ,9 ,2251 ,1577 ,3 ,0 
12 ,9 ,1 ,19085 ,22591 ,14 ,9 ,2271 ,1802 ,3 ,0 
17 ,36 ,1 ,20220 ,24152 ,14 ,8 ,2165 ,1355 ,3 ,0 
6 ,7 ,1 ,20028 ,21879 ,10 ,9 ,1406 ,1415 ,3 ,0 
15 ,16 ,1 ,23155 ,25358 ,13 ,8 ,2195 ,1711 ,3 ,0 
0 ,0 ,1 ,32864 ,25125 ,7 ,1 ,1155 ,574 ,3 ,1 
32 ,37 ,1 ,19033 ,22998 ,16 ,9 ,2407 ,1949 ,3 ,0 
16 ,24 ,1 ,19616 ,22280 ,14 ,8 ,2297 ,1794 ,3 ,0 
10 ,7 ,1 ,19747 ,24558 ,14 ,8 ,2049 ,1362 ,3 ,0 
17 ,29 ,1 ,13257 ,19146 ,12 ,10 ,1673 ,1680 ,3 ,0 
26 ,41 ,1 ,15754 ,20987 ,14 ,9 ,1869 ,1428 ,3 ,0 
12 ,9 ,1 ,17597 ,22573 ,16 ,8 ,2349 ,1419 ,3 ,0 
10 ,7 ,1 ,21198 ,24709 ,16 ,8 ,2319 ,1215 ,3 ,0 
9 ,7 ,1 ,19106 ,23134 ,15 ,9 ,2115 ,1487 ,3 ,0 
9 ,8 ,1 ,15843 ,20727 ,11 ,8 ,1767 ,1366 ,3 ,0 
13 ,29 ,1 ,15917 ,20268 ,9 ,9 ,1487 ,1868 ,3 ,0 
17 ,35 ,1 ,21039 ,23036 ,9 ,8 ,1643 ,1618 ,3 ,0 
27 ,42 ,1 ,18726 ,22497 ,8 ,7 ,1615 ,2259 ,3 ,0 
7 ,7 ,1 ,19379 ,22335 ,11 ,11 ,1433 ,1526 ,3 ,0 
21 ,35 ,1 ,17688 ,22248 ,13 ,9 ,1982 ,1478 ,3 ,0 
34 ,48 ,1 ,16925 ,18245 ,12 ,8 ,1866 ,1693 ,3 ,0 
21 ,34 ,1 ,18631 ,20824 ,15 ,9 ,2294 ,1432 ,3 ,0 
15 ,25 ,1 ,19648 ,22460 ,14 ,7 ,2208 ,1409 ,3 ,0 
6 ,7 ,1 ,21842 ,22222 ,7 ,8 ,975 ,1292 ,3 ,0 
31 ,48 ,1 ,21459 ,24955 ,10 ,9 ,1566 ,1654 ,3 ,0 
17 ,31 ,1 ,21092 ,24952 ,13 ,9 ,2258 ,2013 ,3 ,0 
0 ,0 ,1 ,33060 ,25332 ,7 ,1 ,591 ,70 ,3 ,1 
0 ,0 ,1 ,33125 ,25406 ,6 ,1 ,625 ,15 ,3 ,1 
15 ,26 ,1 ,20974 ,22284 ,13 ,8 ,2274 ,1807 ,3 ,0 
7 ,7 ,1 ,18732 ,21821 ,12 ,9 ,1737 ,1399 ,3 ,0 
31 ,45 ,1 ,20726 ,23786 ,13 ,9 ,2439 ,2212 ,3 ,0 
9 ,6 ,1 ,20914 ,22669 ,14 ,7 ,2202 ,1199 ,3 ,0 
17 ,29 ,1 ,18115 ,21410 ,14 ,10 ,2284 ,1918 ,3 ,0 
9 ,8 ,1 ,20008 ,21956 ,13 ,11 ,1648 ,1521 ,3 ,0 
11 ,6 ,1 ,16262 ,20540 ,14 ,8 ,2342 ,1345 ,3 ,0 
18 ,33 ,1 ,18786 ,23381 ,10 ,10 ,2001 ,2182 ,3 ,0 
20 ,33 ,1 ,19995 ,21781 ,14 ,10 ,2312 ,1955 ,3 ,0 
18 ,34 ,1 ,23866 ,24682 ,10 ,8 ,1732 ,1989 ,3 ,0 
11 ,7 ,1 ,18634 ,23352 ,15 ,8 ,2449 ,1447 ,3 ,0 
15 ,14 ,1 ,18510 ,21008 ,14 ,8 ,1934 ,1393 ,3 ,0 
8 ,9 ,1 ,17512 ,20628 ,10 ,9 ,1494 ,1654 ,3 ,0 
17 ,27 ,1 ,18466 ,22068 ,13 ,8 ,1842 ,1271 ,3 ,0 
16 ,32 ,1 ,16165 ,18912 ,8 ,9 ,1248 ,1579 ,3 ,0 
20 ,28 ,1 ,16364 ,21572 ,14 ,7 ,2451 ,1799 ,3 ,0 
13 ,19 ,1 ,20136 ,22623 ,11 ,10 ,1971 ,1980 ,3 ,0 
27 ,42 ,1 ,20286 ,21755 ,12 ,9 ,2189 ,2134 ,3 ,0 
9 ,8 ,1 ,19115 ,21595 ,12 ,8 ,1814 ,1325 ,3 ,0 
26 ,40 ,1 ,17989 ,22514 ,13 ,8 ,2133 ,1621 ,3 ,0 
8 ,6 ,1 ,22528 ,24685 ,13 ,9 ,1982 ,1426 ,3 ,0 
10 ,8 ,1 ,19257 ,20671 ,13 ,10 ,2099 ,1686 ,3 ,0 
25 ,36 ,1 ,21444 ,23556 ,10 ,9 ,2085 ,2167 ,3 ,0 
24 ,39 ,1 ,21657 ,23248 ,13 ,9 ,1861 ,1528 ,3 ,0 
8 ,7 ,1 ,17397 ,21301 ,12 ,9 ,1711 ,1471 ,3 ,0 
17 ,31 ,1 ,18401 ,21875 ,11 ,9 ,1771 ,1632 ,3 ,0 
19 ,25 ,1 ,16699 ,21327 ,17 ,8 ,2589 ,1284 ,3 ,0 
7 ,7 ,1 ,18702 ,23434 ,11 ,9 ,1620 ,1549 ,3 ,0 
18 ,32 ,1 ,19582 ,22308 ,12 ,8 ,1790 ,1283 ,3 ,0 
20 ,28 ,1 ,21065 ,22749 ,17 ,10 ,2562 ,1762 ,3 ,0 
12 ,28 ,1 ,17696 ,21629 ,9 ,8 ,1274 ,1413 ,3 ,0 
24 ,36 ,1 ,16686 ,18561 ,13 ,10 ,2021 ,1666 ,3 ,0 
8 ,7 ,1 ,23131 ,24479 ,11 ,8 ,1819 ,1674 ,3 ,0 
9 ,6 ,1 ,21379 ,23491 ,14 ,8 ,2007 ,1255 ,3 ,0 
11 ,8 ,1 ,17963 ,20855 ,14 ,8 ,2200 ,1448 ,3 ,0 
24 ,37 ,1 ,19062 ,22036 ,14 ,10 ,2104 ,1666 ,3 ,0 
0 ,1 ,1 ,32860 ,25110 ,6 ,1 ,600 ,62 ,3 ,1 
12 ,17 ,1 ,20608 ,22767 ,12 ,8 ,1786 ,1421 ,3 ,0 
28 ,44 ,1 ,21099 ,24569 ,10 ,8 ,1689 ,1615 ,3 ,0 
22 ,40 ,1 ,18642 ,21549 ,15 ,9 ,2218 ,1403 ,3 ,0 
24 ,40 ,1 ,17875 ,20570 ,13 ,8 ,2272 ,2095 ,3 ,0 
10 ,6 ,1 ,21877 ,24394 ,14 ,8 ,2191 ,1511 ,3 ,0 
28 ,40 ,1 ,21723 ,23242 ,15 ,7 ,2326 ,1649 ,3 ,0 
19 ,31 ,1 ,20887 ,22186 ,12 ,10 ,1801 ,1730 ,3 ,0 
24 ,41 ,1 ,21392 ,22810 ,13 ,9 ,2076 ,1884 ,3 ,0 
11 ,14 ,1 ,15656 ,20020 ,12 ,9 ,1808 ,1615 ,3 ,0 
16 ,29 ,1 ,19346 ,21066 ,12 ,10 ,1733 ,1578 ,3 ,0 
31 ,46 ,1 ,20694 ,23196 ,14 ,8 ,2183 ,1664 ,3 ,0 
19 ,34 ,1 ,16848 ,18465 ,14 ,8 ,2105 ,1452 ,3 ,0 
10 ,7 ,1 ,16084 ,21440 ,12 ,9 ,2006 ,1631 ,3 ,0 
18 ,24 ,1 ,15579 ,18854 ,12 ,8 ,2413 ,2249 ,3 ,0 
20 ,33 ,1 ,20712 ,23754 ,14 ,8 ,2416 ,2061 ,3 ,0 
16 ,31 ,1 ,18150 ,20634 ,11 ,10 ,1635 ,1881 ,3 ,0 
25 ,40 ,1 ,20398 ,22416 ,13 ,8 ,2241 ,2185 ,3 ,0 
23 ,31 ,1 ,20303 ,22339 ,16 ,9 ,2373 ,1695 ,3 ,0 
24 ,41 ,1 ,17586 ,20645 ,10 ,9 ,1432 ,1565 ,3 ,0 
15 ,14 ,1 ,19715 ,24764 ,15 ,7 ,2471 ,1468 ,3 ,0 
11 ,9 ,1 ,18196 ,20303 ,15 ,8 ,2240 ,1438 ,3 ,0 
11 ,8 ,1 ,17123 ,21226 ,16 ,9 ,2158 ,1328 ,3 ,0 
13 ,19 ,1 ,14116 ,18865 ,9 ,9 ,1386 ,1712 ,1 ,0 
5 ,4 ,1 ,19737 ,24091 ,11 ,7 ,1732 ,1373 ,3 ,0 
45 ,57 ,1 ,20123 ,20993 ,10 ,8 ,1680 ,2037 ,3 ,0 
10 ,7 ,1 ,18836 ,22293 ,13 ,10 ,1916 ,1431 ,3 ,0 
26 ,48 ,1 ,19287 ,21693 ,13 ,8 ,1943 ,1314 ,3 ,0 
8 ,10 ,1 ,17619 ,19280 ,11 ,12 ,1570 ,1804 ,2 ,0 
24 ,38 ,1 ,16700 ,21738 ,9 ,9 ,1478 ,1578 ,3 ,0 
13 ,24 ,1 ,19443 ,22839 ,12 ,8 ,1818 ,1427 ,3 ,0 
16 ,30 ,1 ,18879 ,22167 ,12 ,8 ,2108 ,1933 ,3 ,0 
11 ,10 ,1 ,19504 ,22763 ,14 ,11 ,1978 ,1562 ,3 ,0 
7 ,6 ,1 ,9133 ,13278 ,11 ,9 ,1813 ,1559 ,3 ,0 
15 ,31 ,1 ,18600 ,21369 ,12 ,9 ,1867 ,1459 ,3 ,0 
8 ,9 ,1 ,21255 ,23735 ,10 ,10 ,1413 ,1529 ,3 ,0 
16 ,27 ,1 ,20544 ,24744 ,13 ,9 ,2207 ,1848 ,3 ,0 
23 ,47 ,1 ,20620 ,22805 ,13 ,8 ,2063 ,1607 ,3 ,0 
