B1,A1,B2,B3,B4,B5,A2,class
15.62447059,1,22651.55882,22651.55882,12.82352941,1877.264706,6,0
9.689090909,1,19493.81818,19493.81818,15.31818182,2217.227273,3,0
9.632888889,1,17649.94444,17649.94444,16.55555556,2677.055556,3,0
26.42466667,2,20736.3,20736.3,15.4,2577.4,10,0
14.7101875,3,21207.96875,21207.25938,11.3125,1880.21875,10,0
13.83163636,1,18914,20296.19545,12.77272727,2188.772727,6,0
25.90128571,1,13912.21429,13912.21429,12.28571429,2044.5,3,0
0.0621875,1,26891.0625,26891.0625,6.5,589.75,1,1
22.38971429,1,17727.69048,17727.69048,12.28571429,1989.52381,8,0
22.8846875,1,20140.6875,20140.6875,12.125,2311.40625,3,0
16.91376471,1,20567.05882,20567.05882,11.82352941,2304,3,0
16.69428571,1,20000.85714,20000.85714,12.53571429,2103.178571,3,0
8.5495625,1,16819.5625,16819.5625,13.09375,1985.90625,3,0
29.571,1,20822.20588,19562.21471,9.882352941,1682.617647,6,0
21.28977778,1,23291.16667,23291.16667,13.38888889,2322.222222,4,0
7.081666667,1,18131.27778,18131.46111,10.38888889,1474,3,0
8.978,1,20251.72727,20251.72727,13.54545455,1972.863636,3,0
20.75335294,2,19554.35294,20028.72353,13.52941176,1868.617647,10,0
14.24836842,3,19751.63158,16656.99737,11.15789474,1727.131579,10,0
0.124714286,1,32743.70849,32743.70849,6.474903475,706.2249035,6,1
2.978462243,1,32703.10526,32703.10526,6.421052632,579.0377574,3,1
0.058931298,1,32723.58206,32723.58206,6.461832061,811.0171756,3,1
0.054523077,1,32404.68462,32404.68462,6.484615385,755.3153846,3,1
17.5522,2,15685.86667,15685.86667,14.33333333,2207.666667,10,0
14.62,3,19326.97222,19326.39722,10.5,1584.555556,10,0
12.626,1,15507.18182,15507.18182,4.681818182,731.3181818,3,0
14.5438125,1,19718.875,19718.875,11.5,1861,3,0
12.235125,1,18965.5625,18965.5625,7.84375,1260.3125,3,0
17.9918125,1,18957,18957,13.3125,2215.6875,3,0
20.20775,1,20610.66667,20610.66667,12.375,2321.541667,3,0
7.601083333,1,17356.83333,17356.83333,12,1710.416667,6,0
12.4150625,1,20734.6875,20734.6875,18.25,2714.25,1,0
7.922333333,1,18404.19444,17681.09167,12.38888889,1911.5,8,0
19.50169231,1,20339.5,19636.08846,13.73076923,2046.384615,3,0
13.74216667,1,19137.5,19135.05417,7.458333333,1132.708333,6,0
10.42692308,1,21584.92308,21584.92308,14,2166.461538,6,0
12.936,1,19699.11111,19699.11111,10.69444444,1732.277778,3,0
7.563736842,1,17575.36842,17575.36842,8.210526316,1354.657895,6,0
18.49378571,1,21171.42857,21171.42857,15.39285714,2504.571429,3,0
11.6757931,1,15720.03448,16755.96552,16.24137931,2565.689655,11,0
16.38428571,1,18869.90476,18869.90476,14.64285714,2243.333333,3,0
18.89263158,1,20352.05263,20352.05263,13.97368421,2130.131579,3,0
23.76368571,1,22298.91429,19464.66571,8.828571429,1713.314286,3,0
19.8625,1,19039.875,19039.875,13.16666667,1807.375,3,0
22.34313333,1,18327.76667,18327.76667,9.2,1481.833333,3,0
20.31656522,1,22664.71739,21527.83261,26.7826087,66458.13043,3,0
13.6964,1,16545.8,16546.06667,13.03333333,1932.633333,3,0
5.949363636,1,20173.36364,20173.36364,10.18181818,1459.136364,7,0
12.85446667,1,19395.76667,19395.76667,8.4,1427.866667,8,0
12.93058824,1,22130.76471,20810.03824,9.323529412,1526.558824,1,0
20.36630769,1,22421.88462,22421.88462,10.96153846,2088.923077,2,0
20.52790909,1,20098.09091,20098.09091,15.68181818,2617.863636,5,0
24.01293333,1,18378.5,18280.27667,9.4,1448.4,3,0
28.1925625,1,17638.375,17638.625,15.1875,2405.5625,2,0
5.209,1,14756.86364,14744.46818,9.863636364,1527.727273,1,0
18.89736,1,19683.16,17482.432,12.52,15585.9,1,0
30.73275,1,19996.625,20638.79063,12.5625,2170.21875,2,0
28.50846154,1,21768.34615,21768.34615,9.384615385,1424.307692,1,0
18.85125,1,20989.0625,20989.0625,12.375,2185.625,8,0
16.35252381,1,16692.78571,16692.97619,16.19047619,2457.119048,6,0
15.50688889,1,21693.52778,21693.52778,13.47222222,2067.416667,4,0
20.1055,1,16616.28125,16616.28125,11.375,1687.75,3,0
22.21471429,1,18406.85714,18407.42857,7.714285714,1350.571429,6,0
8.444083333,1,18550.5,18550.5,14.04166667,2007.541667,1,0
18.64966667,1,18036.66667,18036.93333,14.8,2174.6,8,0
8.412666667,1,19754.83333,19754.83333,14.45833333,2162.25,3,0
17.76291667,1,17651.33333,17651.33333,12.33333333,1883.083333,6,0
11.83564286,1,17410.25,15791.08214,10.46428571,1453.321429,3,0
17.54541176,1,18094.05882,18094.05882,15.52941176,2457.970588,6,0
14.64593333,1,21184.06667,19225.74333,10.33333333,1902.433333,3,0
3.7905,1,15297.16667,15297.16667,6.583333333,928.3333333,3,0
2.305125,1,21388,21388,6.9375,1117.0625,7,0
14.61773077,1,21478.40385,20666.51154,9.192307692,1349.557692,8,0
27.8089375,1,18634.75,18634.75,12.96875,2034.71875,3,0
1057.597012,1,32494.20988,32494.20988,90.90740741,102198.6667,6,1
0.070512195,1,32905.13415,32905.13415,6.487804878,895.3658537,3,1
15.26344444,1,21103.86111,21103.86111,11.30555556,1848.638889,3,0
17.14192857,1,18755.96429,18754.68929,14.10714286,2186.392857,5,0
18.2935,1,18914.8,18913.515,10.4,1845.25,3,0
24.01742857,1,19936.57143,19936.57143,16.97619048,2703.404762,2,0
17.54852632,1,19513.94737,19513.94737,13.23684211,2089,1,0
6.40825,1,18760.125,18760.125,9.416666667,1290.666667,1,0
18.7624375,1,20078.84375,19049.41563,13,1822.40625,2,0
24.32038462,1,18737.03846,18736.74231,10.73076923,2113.769231,3,0
37.46133333,1,19114.16667,18708.40556,16.11111111,2898.5,3,0
31.89181818,1,21629.81818,21629.81818,14.36363636,2321.636364,3,0
6.779444444,1,19536.72222,19536.72222,10.05555556,1412.055556,3,0
10.51451613,1,19437.67742,19437.67742,15.03225806,2152.419355,8,0
25.12506667,1,20768.5,20768.5,16.3,2382.866667,3,0
21.88071429,1,15311.10714,15308.23571,12.03571429,1729.714286,3,0
13.76788889,1,13797.11111,13797.11111,15.61111111,2259.555556,3,0
20.19125,1,16207.725,15156.0575,11.85,1699.425,3,0
7.677,1,20671.16667,20671.16667,10.47222222,1594,3,0
14.34244444,1,14529.22222,14527.03611,10.30555556,1648.388889,1,0
34.6126,1,17579.46667,17579.46667,14.13333333,2276.766667,2,0
8.076,1,17649.34211,17258.00789,11.68421053,1709.394737,3,0
15.696,1,15810.32143,15810.32143,11.25,1844.107143,3,0
16.81885714,2,20464.96429,20464.96429,13.17857143,2031.535714,10,0
26.90023529,3,22279.38235,22279.38235,11.61764706,2259.235294,10,0
13.14545,1,20077.45,20077.45,11.325,1631.825,3,0
8.625846154,1,19064.30769,19053.93462,12.88461538,1895.384615,3,0
12.08195238,1,16012.30952,16012.38571,11.33333333,1692.666667,3,0
23.124,1,21135.26471,21135.26471,11.67647059,1872.117647,3,0
9.623555556,1,19137.55556,19137.55556,12.44444444,1802.555556,7,0
11.091125,1,19722.84375,19721.66563,15.09375,2314.53125,2,0
21.73518182,1,16302.95455,16301.51364,11.63636364,2324.409091,1,0
21.99091667,1,14946.41667,14946.75,8.166666667,1591,2,0
27.015,1,17119.33333,17118.175,13.25,2361.888889,3,0
30.11545455,1,16015.95455,16016.31818,11.90909091,2080.136364,6,0
18.85905263,1,19158.26316,19158.26316,8.131578947,1193.815789,3,0
16.25023529,1,22172.08824,21799.80294,9.764705882,1408.764706,3,0
25.8840625,1,16926.71875,16926.71875,10.5,1520.5,3,0
1045.281098,1,32064.20732,32064.20732,58.24390244,32506.44512,3,1
0.73083871,3,30491.74194,30491.74194,6.435483871,927.8709677,10,1
0.0641875,3,32856.40625,32856.40625,6.5,758.0625,10,1
9.939263158,1,16396.84211,15676.63158,15.26315789,2169.315789,3,0
7.728636364,1,21458.18182,21458.18182,13.13636364,1895,3,0
33.69484211,1,20788.63158,20067.68421,12.94736842,2197.315789,6,0
7.200285714,1,19332.39286,18112.04643,12.5,1801,3,0
25.8038,1,19278.5,19278.5,12.4,2077.75,1,0
2.997846154,1,21614.26923,21614.26923,6.153846154,867.1538462,2,0
9.6166,1,18586.8,17449.87333,15.03333333,2204.966667,4,0
10.3945,1,20928.84375,19153.41563,14.875,2190.84375,3,0
22.10779167,1,19824.8125,18566.04792,8.854166667,1449.958333,3,0
23.80730769,1,22205.61538,22205.61538,11.07692308,1639.5,3,0
40.30066667,1,20493.58333,20493.58333,14.5,2666.666667,3,0
16.47258824,1,18846.88235,18846.88235,11.73529412,1898.382353,3,0
8.698846154,1,18350.69231,18347.63846,10.88461538,1638.307692,5,0
3.518714286,1,21698.14286,21698.14286,10.14285714,1548.071429,4,0
18.71034783,1,15647.08696,13090.4913,12.91304348,2050.130435,3,0
13.43477273,1,17923.31818,17923.5,11.70454545,1837.613636,3,0
18.64427273,1,21676.5,19182.60455,11.40909091,1511.636364,1,0
18.14917647,1,19256.38235,19256.38235,16.64705882,2368.5,8,0
6.9933,1,21084.95,18760.465,8.6,1652.2,3,0
9.559615385,1,17306.03846,17305.39615,13.65384615,1929.653846,3,0
26.44703226,1,15277.03226,15422.12903,12.67741935,1844.516129,3,0
8.6147,1,20221.3,20221.3,12.75,1869.9,6,0
13.56772222,1,19682.22222,18448.25833,13.47222222,1988.194444,1,0
16.85913333,1,16781.83333,15470.29667,10.86666667,1556.2,8,0
5.65625,1,22260.33333,22260.33333,10.08333333,1536.333333,5,0
5.586916667,1,20144.04167,20144.04167,9.291666667,1308.875,4,0
22.7908,1,14179.95,14179.95,11.85,2143.4,3,0
18.43347368,1,18764.39474,17920.79474,13,2201.078947,3,0
21.92357143,1,14665.21429,13440.23571,10.92857143,1855.607143,1,0
10.57308333,1,19059.625,19059.625,11.08333333,1802.791667,2,0
9.934709677,1,21188.58065,20743.09677,14.87096774,2326.709677,3,0
19.64452174,1,18179.3913,13862.27391,11.56521739,2172.086957,6,0
17.765,1,15781.9,15909.01,15.86666667,2518.5,3,0
3.399,1,17375.22727,17361.84545,6.954545455,1129.863636,6,0
8.053692308,1,21500.42308,21500.42308,13.5,1929.846154,3,0
42.79692308,1,19202.80769,19202.80769,11.92307692,2058.346154,3,0
8.360176471,1,16730.97059,16730.74412,10.32352941,1629.5,6,0
8.343,1,19146.85,19146.85,10.85,1737.6,3,0
18.30654545,1,19769.27273,19769.27273,11.04545455,1750.613636,1,0
9.983058824,1,17607.47059,17607.47059,15.02941176,2164,2,0
16.96766667,1,19647.95833,19647.95833,12.29166667,2012.041667,6,0
15.99338462,1,19772.07692,22075.24231,9.384615385,1591.653846,3,0
15.34340909,1,18457.88636,18457.88636,13.27272727,2040.590909,3,0
16.26694118,1,14617.35294,13745.92059,11.35294118,1903.058824,3,0
18.52872222,2,17204.44444,17204.44444,13.11111111,2139.083333,10,0
21.54893333,3,22670.83333,22670.83333,9.333333333,1370.333333,10,0
19.52336842,3,18283.05263,18273.53421,11.65789474,1948.947368,10,0
27.1118,3,20842.6,19668.61,9.7,1668.666667,10,0
32.84713333,1,21568.06667,21568.06667,14.36666667,2318.633333,1,0
30.520125,1,19009.8125,19009.8125,12.6875,2251.21875,2,0
14.55690909,1,18726,18714.24091,7.909090909,1463.136364,6,0
17.08493333,1,18932.4,18932.66667,11.36666667,1605.666667,3,0
7.2792,1,15469.44,17377.2,9,1275.44,3,0
14.7941875,1,20525.15625,18947.75938,12.1875,1798.4375,6,0
9.533181818,1,14131.31818,14131.46364,12.13636364,1837.090909,2,0
17.56028571,1,12168.21429,12168.21429,14.17857143,2319.107143,1,0
7.267722222,1,17051.11111,17051.175,11.94444444,1736.722222,3,0
22.99072727,1,21181.9697,19597.55758,11.3030303,1961.848485,3,0
7.901428571,1,19823.5,19823.5,11.28571429,1567.071429,3,0
19.82264286,1,22770.67857,22770.67857,13.5,1902.821429,3,0
13.28682353,1,15539.55882,15539.15588,9.941176471,1565.941176,3,0
49.18683333,1,19001.83333,19001.83333,14,2454.5,3,0
19.48,1,19485.5,19485.5,14.72727273,2069.636364,2,0
