B1,B2,B3,A1,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,A2,class
22 ,36 ,1290 ,1 ,18202 ,21864 ,478035054 ,18202 ,21864 ,478035054 ,14 ,9 ,78 ,1990 ,1383 ,1913518 ,3 ,0 
31 ,47 ,2191 ,1 ,17729 ,22424 ,502836301 ,17729 ,22424 ,502836301 ,12 ,9 ,78 ,2108 ,2147 ,4609324 ,3 ,0 
14 ,28 ,811 ,1 ,21314 ,23663 ,559949738 ,21314 ,23663 ,559949738 ,10 ,8 ,69 ,1481 ,1321 ,1745320 ,3 ,0 
8 ,6 ,35 ,1 ,23007 ,23413 ,548147482 ,23007 ,23413 ,548147482 ,12 ,8 ,69 ,1849 ,1448 ,2096448 ,3 ,0 
19 ,27 ,715 ,1 ,20909 ,21919 ,480442261 ,20909 ,21919 ,480442261 ,14 ,9 ,76 ,2253 ,1777 ,3156576 ,3 ,0 
10 ,8 ,58 ,1 ,14893 ,19265 ,371125932 ,14893 ,19265 ,371127246 ,14 ,10 ,99 ,1888 ,1447 ,2092645 ,3 ,0 
17 ,13 ,163 ,1 ,23578 ,24904 ,620229541 ,23578 ,24904 ,620229541 ,19 ,6 ,35 ,2930 ,1133 ,1283281 ,3 ,0 
13 ,26 ,698 ,1 ,20015 ,23610 ,557421724 ,20015 ,23610 ,557421724 ,12 ,9 ,75 ,1691 ,1336 ,1785214 ,3 ,0 
9 ,12 ,133 ,1 ,14900 ,19357 ,374707476 ,13861 ,18964 ,359624116 ,10 ,9 ,81 ,1662 ,1984 ,3937115 ,3 ,0 
27 ,38 ,1450 ,1 ,19561 ,22928 ,525680931 ,19561 ,22928 ,525680931 ,11 ,7 ,47 ,2237 ,1878 ,3528683 ,3 ,0 
39 ,51 ,2628 ,1 ,21370 ,22207 ,493172684 ,21370 ,22207 ,493172684 ,13 ,5 ,29 ,2690 ,2274 ,5169926 ,3 ,0 
14 ,29 ,820 ,1 ,18301 ,21136 ,446736014 ,18301 ,21136 ,446748778 ,12 ,9 ,75 ,1739 ,1336 ,1785477 ,3 ,0 
21 ,35 ,1202 ,1 ,19663 ,22450 ,503983953 ,18656 ,22500 ,506261990 ,11 ,10 ,98 ,1733 ,1971 ,3884150 ,3 ,0 
16 ,26 ,691 ,1 ,18147 ,21537 ,463843610 ,18147 ,21537 ,463843610 ,15 ,8 ,69 ,2347 ,1724 ,2971827 ,3 ,0 
10 ,8 ,58 ,1 ,20459 ,23376 ,546434060 ,20459 ,23376 ,546434060 ,15 ,9 ,74 ,2194 ,1293 ,1670634 ,3 ,0 
9 ,7 ,49 ,1 ,24471 ,25579 ,654290274 ,24471 ,25579 ,654290274 ,14 ,9 ,79 ,2041 ,1332 ,1774723 ,3 ,0 
11 ,7 ,53 ,1 ,17835 ,22506 ,506535598 ,17835 ,22506 ,506523710 ,17 ,8 ,63 ,2418 ,1189 ,1414545 ,3 ,0 
16 ,29 ,859 ,1 ,19175 ,26072 ,679750761 ,19175 ,26072 ,679730312 ,12 ,8 ,71 ,2097 ,1935 ,3744868 ,3 ,0 
27 ,42 ,1751 ,1 ,15502 ,20483 ,419542704 ,15502 ,20483 ,419542704 ,12 ,9 ,78 ,2034 ,1905 ,3627250 ,3 ,0 
21 ,34 ,1167 ,1 ,18658 ,22388 ,501229876 ,17742 ,22263 ,495648930 ,12 ,9 ,81 ,1775 ,1572 ,2471224 ,3 ,0 
16 ,32 ,1002 ,1 ,22942 ,22880 ,523502785 ,22942 ,22880 ,523502785 ,10 ,10 ,99 ,1435 ,1506 ,2268462 ,3 ,0 
14 ,11 ,113 ,1 ,22221 ,23535 ,553905419 ,22221 ,23535 ,553905419 ,14 ,9 ,75 ,2269 ,1836 ,3372470 ,3 ,0 
9 ,7 ,44 ,1 ,19984 ,23362 ,545785870 ,19984 ,23362 ,545785870 ,13 ,9 ,79 ,1970 ,1665 ,2773848 ,3 ,0 
8 ,6 ,32 ,1 ,21046 ,23821 ,567429106 ,21046 ,23821 ,567429106 ,14 ,7 ,55 ,2141 ,1223 ,1496613 ,3 ,0 
19 ,29 ,832 ,1 ,22159 ,23626 ,558181327 ,20641 ,23529 ,553605124 ,15 ,10 ,100 ,2334 ,1802 ,3248421 ,3 ,0 
22 ,37 ,1367 ,1 ,22885 ,24036 ,577720396 ,22885 ,24036 ,577720396 ,13 ,9 ,86 ,2138 ,1790 ,3205768 ,3 ,0 
15 ,25 ,601 ,1 ,21803 ,23968 ,574467121 ,21803 ,23968 ,574467121 ,13 ,8 ,66 ,2108 ,1743 ,3037471 ,3 ,0 
17 ,34 ,1160 ,1 ,19574 ,21737 ,472495018 ,19574 ,21737 ,472495018 ,7 ,6 ,35 ,969 ,1104 ,1218647 ,3 ,0 
11 ,10 ,106 ,1 ,20136 ,22519 ,507118992 ,17503 ,22219 ,493705127 ,12 ,10 ,105 ,1525 ,1481 ,2192315 ,3 ,0 
12 ,22 ,503 ,1 ,16515 ,20378 ,415283005 ,15616 ,20290 ,411695767 ,10 ,11 ,121 ,1471 ,1676 ,2809775 ,3 ,0 
30 ,46 ,2162 ,1 ,19878 ,23631 ,558445842 ,19878 ,23631 ,558445842 ,8 ,6 ,37 ,1509 ,1933 ,3737562 ,3 ,0 
19 ,33 ,1098 ,1 ,20598 ,23763 ,564661640 ,20597 ,23763 ,564687924 ,13 ,9 ,73 ,2025 ,1356 ,1838611 ,3 ,0 
19 ,31 ,935 ,1 ,20456 ,23616 ,557707050 ,20456 ,23616 ,557707050 ,15 ,10 ,92 ,2182 ,1705 ,2905748 ,3 ,0 
11 ,12 ,151 ,1 ,20470 ,23523 ,553311142 ,20470 ,23523 ,553311142 ,13 ,7 ,52 ,1986 ,1218 ,1482574 ,3 ,0 
15 ,22 ,473 ,1 ,14349 ,19634 ,385484895 ,14349 ,19634 ,385484895 ,12 ,9 ,84 ,1996 ,1920 ,3686103 ,3 ,0 
27 ,38 ,1470 ,1 ,19401 ,21889 ,479118693 ,19401 ,21889 ,479118693 ,14 ,7 ,47 ,2265 ,1729 ,2990326 ,3 ,0 
12 ,13 ,162 ,1 ,16585 ,22960 ,527183876 ,16586 ,22960 ,527152436 ,13 ,10 ,103 ,1924 ,1586 ,2516034 ,3 ,0 
19 ,31 ,960 ,1 ,19486 ,23465 ,550588544 ,19486 ,23465 ,550588544 ,11 ,8 ,66 ,1495 ,1333 ,1777775 ,3 ,0 
8 ,7 ,54 ,1 ,18515 ,21202 ,449511396 ,18515 ,21202 ,449511396 ,12 ,10 ,99 ,1834 ,1725 ,2974384 ,3 ,0 
32 ,44 ,1903 ,1 ,20233 ,24295 ,590241312 ,20233 ,24295 ,590241312 ,11 ,8 ,71 ,1934 ,1924 ,3701878 ,3 ,0 
12 ,8 ,63 ,1 ,18711 ,21468 ,460894148 ,18711 ,21468 ,460894148 ,18 ,9 ,89 ,2392 ,1362 ,1854089 ,3 ,0 
17 ,29 ,828 ,1 ,16795 ,20993 ,440694505 ,16795 ,20993 ,440694505 ,11 ,9 ,78 ,1991 ,1791 ,3206958 ,3 ,0 
18 ,33 ,1063 ,1 ,21248 ,24314 ,591170133 ,21248 ,24314 ,591170133 ,10 ,8 ,66 ,1432 ,1416 ,2003845 ,3 ,0 
14 ,20 ,403 ,1 ,18654 ,22578 ,509756048 ,18654 ,22578 ,509756048 ,13 ,10 ,109 ,2197 ,1916 ,3669193 ,3 ,0 
16 ,27 ,744 ,1 ,22652 ,24930 ,621523246 ,22652 ,24930 ,621523246 ,13 ,8 ,56 ,1877 ,1236 ,1526736 ,3 ,0 
10 ,7 ,49 ,1 ,19494 ,22986 ,528358798 ,19494 ,22986 ,528358798 ,15 ,9 ,90 ,2217 ,1464 ,2143255 ,3 ,0 
10 ,4 ,17 ,1 ,17650 ,19395 ,376166601 ,17650 ,19395 ,376166601 ,17 ,5 ,24 ,2677 ,855 ,731738 ,3 ,0 
26 ,38 ,1456 ,2 ,20736 ,24963 ,623144867 ,20736 ,24963 ,623144867 ,15 ,10 ,90 ,2577 ,2134 ,4555790 ,3 ,0 
15 ,22 ,493 ,3 ,21208 ,25258 ,637975898 ,21207 ,25259 ,637997743 ,11 ,8 ,69 ,1880 ,1568 ,2457094 ,3 ,0 
14 ,20 ,387 ,1 ,18914 ,20981 ,440189770 ,20296 ,22172 ,491610912 ,13 ,7 ,51 ,2189 ,1661 ,2759412 ,3 ,0 
26 ,40 ,1570 ,1 ,13912 ,17171 ,294840668 ,13912 ,17171 ,294840668 ,12 ,9 ,76 ,2045 ,2289 ,5238679 ,3 ,0 
0 ,0 ,0 ,1 ,26891 ,22352 ,499607250 ,26891 ,22352 ,499607250 ,7 ,1 ,0 ,590 ,70 ,4835 ,3 ,1 
22 ,46 ,2109 ,1 ,17728 ,21297 ,453561860 ,17728 ,21297 ,453561860 ,12 ,9 ,83 ,1990 ,1835 ,3367030 ,3 ,0 
23 ,37 ,1392 ,1 ,20141 ,22951 ,526746520 ,20141 ,22951 ,526746520 ,12 ,8 ,63 ,2311 ,2118 ,4487878 ,3 ,0 
17 ,25 ,636 ,1 ,20567 ,22539 ,508021849 ,20567 ,22539 ,508021849 ,12 ,8 ,64 ,2304 ,2232 ,4981639 ,3 ,0 
17 ,30 ,885 ,1 ,20001 ,23358 ,545613552 ,20001 ,23358 ,545613552 ,13 ,8 ,71 ,2103 ,1840 ,3384050 ,3 ,0 
9 ,7 ,43 ,1 ,16820 ,21251 ,451583994 ,16820 ,21251 ,451583994 ,13 ,9 ,80 ,1986 ,1499 ,2245641 ,3 ,0 
