B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,class,A1
0.059333333,0,30786,25580,30786,25580,6,0,714,305,1,1
16.13891667,26,18845,21133,18845,21133,11,9,1738,1936,0,8
26.85469231,41,18232,22324,18230,22325,10,8,1806,1823,0,6
9.834769231,6,23015,24514,23015,24514,14,8,2048,1295,0,3
8.5397,5,21018,24114,21018,24114,10,7,1529,1320,0,3
10.64876923,12,16487,21402,16487,21402,11,8,1770,1305,0,6
24.29028571,34,21182,23995,21182,23995,12,7,2260,1968,0,6
9.659133333,6,19747,21909,19747,21909,14,8,2229,1358,0,3
17.55253333,30,20413,23919,20413,23919,10,8,1500,1493,0,1
15.68716667,11,12871,18311,12871,18311,14,6,2430,1367,0,2
7.796103448,10,14515,18795,14271,18926,10,11,1482,1580,0,3
19.04169231,34,15675,22033,13194,19912,8,9,1150,1349,0,3
8.23516129,6,19424,24407,18526,24959,12,9,2148,1562,0,3
18.99870588,31,24009,25705,24009,25705,14,7,2398,1480,0,3
21.06681818,33,16819,20645,16819,20645,11,7,2154,1993,0,3
21.4503125,38,18880,22265,18880,22265,9,9,1578,1793,0,3
15.49215,25,15422,19346,15421,19346,12,9,1938,1623,0,4
11.86822222,7,16890,19837,16890,19837,17,8,2469,1214,0,3
10.8622,8,17907,22453,17907,22453,11,8,1650,1396,0,1
17.60146667,29,20392,22847,20392,22847,14,7,2084,1322,0,2
12.61413333,7,19901,23690,19901,23690,15,8,2269,1341,0,3
9.986625,8,20236,24015,20236,24015,14,9,2112,1318,0,3
10.94830769,15,19420,21952,19420,21952,10,10,1546,1809,0,6
6.562555556,7,18754,19862,18754,19862,10,9,1460,1444,0,4
33.72108333,44,18689,21795,18689,21795,12,8,1799,1389,0,3
18.69575,32,14005,17746,16128,19224,12,9,1955,1532,0,3
41.796,64,15655,16003,15655,16003,14,8,1870,1378,0,3
42.71092308,53,18742,21804,18742,21804,11,8,1995,2207,0,3
27.60838095,39,19032,22519,19032,22519,12,8,2103,1637,0,3
16.47558333,26,20910,21171,20910,21171,11,8,1889,1835,0,6
7.848461538,8,12032,17655,12022,17659,11,10,1707,1612,0,1
5.357,6,17412,23418,17412,23418,8,7,1284,1392,0,8
16.47333333,14,14648,17375,12651,16132,10,8,1688,1418,0,3
11.121,3,24920,25243,24920,25243,19,3,2821,529,0,3
14.63776923,23,18297,20331,18297,20331,11,9,1859,1596,0,10
21.41125,31,18483,20093,18483,20093,12,10,1947,1853,0,10
14.60145455,26,17339,21202,17304,21221,36,86,80619,394136,0,4
29.528,40,16312,19880,16312,19880,13,8,2495,1813,0,5
28.2703,34,21970,24235,21970,24235,17,6,2887,1820,0,8
8.484125,3,22128,25666,19071,24971,13,6,2295,1126,0,7
28.16915,40,18839,23253,18839,23253,12,9,1777,1400,0,3
23.39688889,36,12718,16783,12718,16783,9,5,1813,1825,0,6
32.05291667,40,19312,21768,19312,21768,15,7,2773,1899,0,6
7.927,7,15296,20481,14838,19487,12,9,1784,1393,0,3
11.63557143,25,22246,25151,22229,25161,8,9,1441,1911,0,10
29.70593333,42,23363,25787,23363,25787,9,6,1642,1794,0,10
17.71428571,30,22200,24163,22200,24163,11,9,2021,2149,0,12
9.8478,10,20892,23728,20892,23728,11,8,1720,1536,0,3
