B1,B2,B3,A1,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,A2,class
16.6 ,26.9 ,724.2 ,1,16961.9 ,19730.8 ,389302377.8 ,16961.9 ,19730.8 ,389302377.8 ,7.7 ,6.0 ,35.4 ,1684.3 ,2052.1 ,4211232.6 ,3,0
6.8 ,6.2 ,38.3 ,1,24554.4 ,24786.8 ,614387328.4 ,24554.4 ,24786.8 ,614387328.4 ,11.9 ,8.4 ,70.5 ,1711.8 ,1268.0 ,1607831.5 ,3,0
18.9 ,28.8 ,831.1 ,1,19589.8 ,22665.2 ,513711568.3 ,19589.9 ,22665.2 ,513708784.3 ,14.8 ,7.9 ,62.7 ,2286.5 ,1363.8 ,1859924.4 ,3,0
10.8 ,6.1 ,37.1 ,1,15346.8 ,19750.1 ,390064996.1 ,15346.1 ,19750.4 ,390076846.3 ,15.1 ,8.5 ,72.3 ,2465.1 ,1335.9 ,1784650.8 ,3,0
15.5 ,33.8 ,1142.9 ,1,17890.3 ,20679.9 ,427657340.3 ,17890.3 ,20679.9 ,427657340.3 ,8.1 ,8.3 ,68.7 ,1305.5 ,1708.5 ,2918848.3 ,3,0
34.2 ,47.4 ,2241.7 ,1,19623.5 ,22285.9 ,496659579.7 ,19623.5 ,22285.9 ,496659579.7 ,13.4 ,8.5 ,72.5 ,2093.8 ,1833.6 ,3361910.1 ,3,0
12.0 ,25.5 ,648.2 ,1,19661.6 ,23217.6 ,539057003.3 ,19655.0 ,23221.7 ,539246701.4 ,11.2 ,8.4 ,71.1 ,1899.5 ,1771.7 ,3138877.0 ,3,0
14.5 ,18.0 ,322.9 ,1,16426.0 ,22149.2 ,490585642.8 ,16425.6 ,22149.3 ,490591437.3 ,10.3 ,9.6 ,91.9 ,1711.9 ,1928.4 ,3718875.1 ,3,0
18.0 ,29.0 ,841.7 ,1,20098.0 ,21994.6 ,483761772.7 ,20098.0 ,21994.6 ,483761772.7 ,11.4 ,8.6 ,74.1 ,1798.6 ,1681.0 ,2825575.3 ,3,0
7.1 ,7.6 ,57.3 ,1,23297.4 ,24975.2 ,623762821.2 ,20443.9 ,24660.2 ,608122982.2 ,10.2 ,9.6 ,92.3 ,1368.4 ,1451.5 ,2106774.8 ,3,0
29.0 ,41.3 ,1706.7 ,1,19902.1 ,23557.3 ,554946833.3 ,19877.3 ,23572.4 ,555657271.2 ,11.3 ,7.7 ,59.1 ,2189.3 ,1959.4 ,3839097.8 ,3,0
15.4 ,26.0 ,677.1 ,1,21729.0 ,23190.4 ,537794115.3 ,21729.0 ,23190.4 ,537794115.3 ,15.9 ,8.1 ,64.9 ,2302.8 ,1264.6 ,1599306.1 ,3,0
8.6 ,11.1 ,123.1 ,1,18589.3 ,22213.1 ,493420594.2 ,17475.1 ,22127.7 ,489635361.9 ,9.8 ,8.3 ,69.1 ,1558.8 ,1712.0 ,2931019.8 ,3,0
20.4 ,48.3 ,2336.3 ,1,33176.5 ,25397.4 ,645027102.2 ,33176.5 ,25397.4 ,645027102.2 ,6.0 ,1.4 ,1.9 ,520.6 ,173.4 ,30072.0 ,3,1
7.6 ,8.5 ,71.8 ,1,20997.6 ,23466.8 ,550690378.8 ,20980.0 ,23478.6 ,551246416.2 ,10.6 ,10.7 ,114.8 ,1559.2 ,1559.9 ,2433263.2 ,3,0
15.1 ,24.9 ,621.3 ,1,20889.8 ,23278.2 ,541872926.1 ,20889.8 ,23278.2 ,541872926.1 ,14.2 ,7.9 ,61.7 ,2236.3 ,1359.8 ,1848954.3 ,3,0
20.7 ,36.6 ,1341.5 ,1,15301.9 ,19621.8 ,385015243.3 ,15301.9 ,19621.8 ,385015302.2 ,12.3 ,9.6 ,92.9 ,1642.9 ,1431.2 ,2048222.1 ,3,0
14.5 ,30.5 ,929.0 ,1,20278.1 ,23880.7 ,570288659.9 ,20278.4 ,23880.5 ,570278522.7 ,7.9 ,6.8 ,46.3 ,1590.0 ,1898.4 ,3604073.5 ,3,0
5.4 ,5.7 ,32.4 ,1,16133.1 ,21736.9 ,472490665.2 ,15489.3 ,21956.7 ,482095042.6 ,9.8 ,7.9 ,62.5 ,1491.7 ,1316.4 ,1732927.8 ,3,0
14.3 ,29.9 ,896.0 ,1,18404.0 ,21623.9 ,467591651.3 ,18234.9 ,21710.5 ,471345675.7 ,11.3 ,9.4 ,88.6 ,1935.9 ,1999.1 ,3996197.9 ,3,0
14.2 ,22.4 ,501.4 ,1,21770.9 ,23497.4 ,552125277.5 ,21028.3 ,23503.3 ,552403453.7 ,14.2 ,9.0 ,81.1 ,2242.6 ,1667.9 ,2781820.3 ,3,0
40.3 ,48.1 ,2308.5 ,1,22674.2 ,25002.5 ,625126789.8 ,22674.2 ,25002.5 ,625126789.8 ,13.8 ,8.0 ,63.8 ,2516.4 ,2243.2 ,5031837.2 ,3,0
10.9 ,6.4 ,40.5 ,1,19350.7 ,22704.3 ,515482951.2 ,19350.7 ,22704.3 ,515482951.2 ,17.6 ,8.0 ,63.5 ,2544.7 ,1149.3 ,1320898.4 ,3,0
20.2 ,35.0 ,1223.5 ,1,19436.6 ,23493.5 ,551942873.4 ,19437.0 ,23493.1 ,551927327.2 ,9.4 ,9.4 ,88.2 ,1567.7 ,2090.5 ,4370248.5 ,3,0
15.1 ,25.6 ,657.5 ,1,22138.4 ,25286.7 ,639417768.5 ,22138.4 ,25286.7 ,639417768.5 ,13.8 ,7.8 ,60.1 ,2135.6 ,1397.3 ,1952522.8 ,3,0
21.8 ,43.2 ,1865.8 ,1,13750.8 ,16829.1 ,283218788.5 ,13747.2 ,16830.9 ,283279109.5 ,7.8 ,7.5 ,56.5 ,1375.2 ,1857.1 ,3448684.4 ,3,0
12.1 ,11.4 ,130.7 ,1,21040.9 ,22600.7 ,510789785.6 ,21040.9 ,22600.7 ,510789785.6 ,16.0 ,6.5 ,41.7 ,2662.8 ,1478.6 ,2186135.0 ,3,0
19.6 ,32.6 ,1061.5 ,1,16992.2 ,21995.8 ,483816464.6 ,14841.5 ,21429.6 ,459228534.9 ,8.7 ,6.9 ,47.5 ,1650.7 ,1850.5 ,3424433.7 ,3,0
9.1 ,8.8 ,77.2 ,1,15264.0 ,22236.0 ,494441354.4 ,15264.3 ,22235.9 ,494433724.4 ,11.9 ,10.0 ,99.6 ,1781.3 ,1537.6 ,2364230.5 ,3,0
15.5 ,18.1 ,328.2 ,1,19691.0 ,23764.5 ,564751646.0 ,19691.0 ,23764.5 ,564751646.0 ,14.5 ,8.1 ,66.2 ,2422.3 ,1934.3 ,3741475.0 ,3,0
