B1,B2,B3,A1,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,A2,class
15.45 ,18.12 ,328.19 ,1,19691.04 ,23764.50 ,564751646.00 ,19691.04 ,23764.50 ,564751646.00 ,14.54 ,8.14 ,66.17 ,2422.27 ,1934.29 ,3741474.97 ,3,0
14.53 ,8.45 ,71.46 ,1,22161.00 ,24893.69 ,619695872.70 ,22161.00 ,24893.69 ,619695872.70 ,17.35 ,8.14 ,66.33 ,2508.60 ,1328.83 ,1765777.74 ,3,0
8.15 ,7.08 ,50.06 ,1,20566.83 ,23127.61 ,534886253.40 ,20566.83 ,23127.61 ,534886253.40 ,12.64 ,9.24 ,85.40 ,1857.97 ,1441.35 ,2077491.97 ,3,0
24.80 ,33.03 ,1091.15 ,1,17305.44 ,20228.28 ,409183111.20 ,16516.10 ,20232.26 ,409344457.50 ,13.71 ,7.74 ,59.97 ,2538.91 ,2147.06 ,4609883.61 ,3,0
8.99 ,6.24 ,38.89 ,1,16003.96 ,20881.78 ,436048545.50 ,16003.96 ,20881.78 ,436048545.50 ,13.17 ,8.00 ,63.97 ,2119.21 ,1384.47 ,1916749.58 ,3,0
13.43 ,27.59 ,760.91 ,1,18286.17 ,21889.70 ,479158844.90 ,17348.67 ,21747.59 ,472957611.00 ,11.76 ,9.45 ,89.37 ,1717.12 ,1525.72 ,2327806.91 ,3,0
30.71 ,47.66 ,2271.48 ,1,16765.44 ,20070.40 ,402820863.60 ,17405.07 ,20885.28 ,436194789.80 ,10.63 ,7.60 ,57.73 ,1836.22 ,1789.99 ,3204047.42 ,3,0
10.49 ,13.28 ,176.43 ,1,16624.21 ,19040.79 ,362551680.30 ,16624.21 ,19040.79 ,362551680.30 ,11.21 ,8.20 ,67.28 ,1847.03 ,1707.23 ,2914629.32 ,3,0
22.23 ,35.92 ,1290.22 ,1,18201.97 ,21864.01 ,478035053.70 ,18201.97 ,21864.01 ,478035053.70 ,14.14 ,8.86 ,78.45 ,1990.44 ,1383.30 ,1913518.08 ,3,0
31.48 ,46.81 ,2190.96 ,1,17729.13 ,22424.01 ,502836300.80 ,17729.13 ,22424.01 ,502836300.80 ,11.53 ,8.81 ,77.67 ,2107.84 ,2146.93 ,4609323.66 ,3,0
13.54 ,28.48 ,810.83 ,1,21313.81 ,23663.26 ,559949737.70 ,21313.81 ,23663.26 ,559949737.70 ,10.44 ,8.31 ,69.06 ,1481.31 ,1321.11 ,1745320.22 ,3,0
8.13 ,5.95 ,35.37 ,1,23006.59 ,23412.55 ,548147481.50 ,23006.59 ,23412.55 ,548147481.50 ,11.78 ,8.31 ,69.05 ,1849.31 ,1447.91 ,2096448.09 ,3,0
18.77 ,26.74 ,715.20 ,1,20908.55 ,21918.99 ,480442261.10 ,20908.55 ,21918.99 ,480442261.10 ,13.74 ,8.69 ,75.57 ,2253.43 ,1776.68 ,3156576.05 ,3,0
9.51 ,7.62 ,58.00 ,1,14893.43 ,19264.63 ,371125932.40 ,14893.15 ,19264.66 ,371127246.30 ,13.64 ,9.95 ,98.94 ,1887.71 ,1446.60 ,2092645.42 ,3,0
17.19 ,12.78 ,163.42 ,1,23577.73 ,24904.41 ,620229541.40 ,23577.73 ,24904.41 ,620229541.40 ,18.91 ,5.91 ,34.90 ,2930.36 ,1132.82 ,1283280.69 ,3,0
13.00 ,26.42 ,697.75 ,1,20014.82 ,23609.78 ,557421724.40 ,20014.82 ,23609.78 ,557421724.40 ,11.55 ,8.66 ,74.93 ,1690.90 ,1336.12 ,1785213.62 ,3,0
8.93 ,11.54 ,133.20 ,1,14899.58 ,19357.36 ,374707475.50 ,13860.80 ,18963.76 ,359624116.30 ,10.00 ,9.01 ,81.21 ,1662.45 ,1984.22 ,3937114.56 ,3,0
27.41 ,38.08 ,1449.79 ,1,19561.42 ,22927.73 ,525680931.20 ,19561.42 ,22927.73 ,525680931.20 ,11.42 ,6.84 ,46.83 ,2237.08 ,1878.48 ,3528683.49 ,3,0
39.37 ,51.26 ,2628.01 ,1,21369.96 ,22207.49 ,493172683.50 ,21369.96 ,22207.49 ,493172683.50 ,12.92 ,5.42 ,29.41 ,2690.46 ,2273.75 ,5169926.17 ,3,0
13.79 ,28.63 ,819.85 ,1,18301.13 ,21136.13 ,446736013.90 ,18300.60 ,21136.43 ,446748778.30 ,11.53 ,8.68 ,75.31 ,1739.31 ,1336.22 ,1785477.28 ,3,0
21.36 ,34.68 ,1202.34 ,1,19663.41 ,22449.59 ,503983953.10 ,18655.54 ,22500.27 ,506261989.50 ,10.66 ,9.89 ,97.85 ,1732.50 ,1970.83 ,3884149.56 ,3,0
15.76 ,26.28 ,690.76 ,1,18147.39 ,21537.03 ,463843609.80 ,18147.39 ,21537.03 ,463843609.80 ,14.72 ,8.28 ,68.53 ,2347.33 ,1723.90 ,2971827.17 ,3,0
9.81 ,7.62 ,58.11 ,1,20459.00 ,23375.93 ,546434059.60 ,20459.00 ,23375.93 ,546434059.60 ,14.83 ,8.61 ,74.14 ,2193.50 ,1292.53 ,1670633.52 ,3,0
8.55 ,6.98 ,48.76 ,1,24471.14 ,25579.10 ,654290274.40 ,24471.14 ,25579.10 ,654290274.40 ,14.09 ,8.87 ,78.72 ,2040.82 ,1332.19 ,1774722.51 ,3,0
11.08 ,7.30 ,53.23 ,1,17835.04 ,22506.35 ,506535597.60 ,17835.38 ,22506.08 ,506523710.20 ,16.50 ,7.92 ,62.67 ,2417.58 ,1189.35 ,1414545.33 ,3,0
15.59 ,29.31 ,859.32 ,1,19174.70 ,26072.03 ,679750761.20 ,19175.23 ,26071.64 ,679730312.20 ,12.43 ,8.44 ,71.18 ,2097.40 ,1935.17 ,3744868.31 ,3,0
26.98 ,41.85 ,1751.12 ,1,15501.89 ,20482.74 ,419542704.40 ,15501.89 ,20482.74 ,419542704.40 ,12.23 ,8.81 ,77.56 ,2033.89 ,1904.53 ,3627249.64 ,3,0
21.27 ,34.16 ,1167.15 ,1,18658.35 ,22388.16 ,501229876.30 ,17741.81 ,22263.17 ,495648930.10 ,12.07 ,9.00 ,80.97 ,1775.11 ,1572.01 ,2471224.10 ,3,0
16.40 ,31.66 ,1002.32 ,1,22941.79 ,22880.18 ,523502784.50 ,22941.79 ,22880.18 ,523502784.50 ,10.11 ,9.93 ,98.60 ,1434.57 ,1506.14 ,2268462.46 ,3,0
14.29 ,10.63 ,112.99 ,1,22220.53 ,23535.20 ,553905418.60 ,22220.53 ,23535.20 ,553905418.60 ,13.58 ,8.67 ,75.24 ,2269.03 ,1836.43 ,3372469.58 ,3,0
8.85 ,6.62 ,43.80 ,1,19983.72 ,23362.06 ,545785870.00 ,19983.72 ,23362.06 ,545785870.00 ,12.67 ,8.91 ,79.33 ,1970.28 ,1665.49 ,2773848.20 ,3,0
8.29 ,5.66 ,32.05 ,1,21046.33 ,23820.77 ,567429105.60 ,21046.33 ,23820.77 ,567429105.60 ,14.25 ,7.40 ,54.69 ,2140.60 ,1223.36 ,1496613.39 ,3,0
18.72 ,28.85 ,832.35 ,1,22158.53 ,23625.86 ,558181326.60 ,20640.74 ,23528.82 ,553605124.20 ,15.40 ,9.99 ,99.84 ,2334.03 ,1802.34 ,3248421.17 ,3,0
22.13 ,36.97 ,1366.54 ,1,22884.85 ,24035.82 ,577720395.70 ,22884.85 ,24035.82 ,577720395.70 ,12.88 ,9.27 ,85.87 ,2137.62 ,1790.47 ,3205768.18 ,3,0
15.44 ,24.51 ,600.72 ,1,21802.89 ,23968.04 ,574467120.70 ,21802.89 ,23968.04 ,574467120.70 ,12.79 ,8.15 ,66.35 ,2107.61 ,1742.83 ,3037471.31 ,3,0
16.87 ,34.06 ,1159.91 ,1,19574.38 ,21736.95 ,472495017.70 ,19574.38 ,21736.95 ,472495017.70 ,7.08 ,5.96 ,35.49 ,969.25 ,1103.92 ,1218647.44 ,3,0
10.51 ,10.29 ,105.94 ,1,20135.79 ,22519.30 ,507118991.50 ,17502.63 ,22219.48 ,493705127.10 ,11.59 ,10.24 ,104.86 ,1524.72 ,1480.65 ,2192315.23 ,3,0
11.51 ,22.43 ,503.15 ,1,16514.53 ,20378.49 ,415283005.20 ,15615.53 ,20290.29 ,411695766.80 ,10.40 ,10.98 ,120.64 ,1471.40 ,1676.24 ,2809775.34 ,3,0
29.85 ,46.49 ,2161.60 ,1,19877.73 ,23631.46 ,558445841.50 ,19877.73 ,23631.46 ,558445841.50 ,7.73 ,6.07 ,36.86 ,1509.23 ,1933.28 ,3737561.91 ,3,0
18.75 ,33.14 ,1098.36 ,1,20597.68 ,23762.61 ,564661639.90 ,20596.79 ,23763.16 ,564687924.20 ,13.05 ,8.55 ,73.13 ,2025.14 ,1355.95 ,1838610.57 ,3,0
18.94 ,30.58 ,935.25 ,1,20455.73 ,23615.82 ,557707049.60 ,20455.73 ,23615.82 ,557707049.60 ,14.81 ,9.61 ,92.31 ,2182.46 ,1704.63 ,2905748.25 ,3,0
10.88 ,12.30 ,151.31 ,1,20469.68 ,23522.57 ,553311142.00 ,20469.68 ,23522.57 ,553311142.00 ,13.29 ,7.20 ,51.86 ,1986.00 ,1217.61 ,1482574.47 ,3,0
14.71 ,21.76 ,473.36 ,1,14348.55 ,19633.77 ,385484894.70 ,14348.55 ,19633.77 ,385484894.70 ,12.46 ,9.14 ,83.52 ,1996.27 ,1919.92 ,3686103.47 ,3,0
26.67 ,38.34 ,1469.91 ,1,19400.53 ,21888.78 ,479118693.30 ,19400.53 ,21888.78 ,479118693.30 ,14.27 ,6.86 ,47.06 ,2265.03 ,1729.26 ,2990326.37 ,3,0
11.80 ,12.74 ,162.29 ,1,16585.19 ,22960.49 ,527183876.00 ,16586.15 ,22959.80 ,527152435.80 ,13.03 ,10.13 ,102.64 ,1923.97 ,1586.20 ,2516033.92 ,3,0
19.05 ,30.98 ,959.55 ,1,19486.25 ,23464.62 ,550588544.30 ,19486.25 ,23464.62 ,550588544.30 ,10.61 ,8.13 ,66.17 ,1495.39 ,1333.33 ,1777775.38 ,3,0
7.95 ,7.33 ,53.70 ,1,18515.12 ,21201.68 ,449511395.70 ,18515.12 ,21201.68 ,449511395.70 ,11.89 ,9.94 ,98.87 ,1834.42 ,1724.64 ,2974384.24 ,3,0
32.03 ,43.62 ,1903.06 ,1,20233.42 ,24294.88 ,590241311.50 ,20233.42 ,24294.88 ,590241311.50 ,11.33 ,8.41 ,70.72 ,1933.50 ,1924.03 ,3701877.58 ,3,0
11.83 ,7.95 ,63.17 ,1,18710.85 ,21468.45 ,460894147.50 ,18710.85 ,21468.45 ,460894147.50 ,17.54 ,9.43 ,88.94 ,2391.96 ,1361.65 ,1854088.58 ,3,0
16.58 ,28.78 ,828.26 ,1,16795.00 ,20992.73 ,440694505.40 ,16795.00 ,20992.73 ,440694505.40 ,11.47 ,8.84 ,78.18 ,1990.77 ,1790.80 ,3206958.18 ,3,0
18.18 ,32.60 ,1062.56 ,1,21247.81 ,24313.99 ,591170132.90 ,21247.81 ,24313.99 ,591170132.90 ,9.79 ,8.15 ,66.42 ,1431.92 ,1415.57 ,2003844.87 ,3,0
14.42 ,20.07 ,402.92 ,1,18654.00 ,22577.78 ,509756047.90 ,18654.00 ,22577.78 ,509756047.90 ,13.21 ,10.46 ,109.48 ,2196.95 ,1915.51 ,3669192.95 ,3,0
15.62 ,27.27 ,743.82 ,1,22651.56 ,24930.37 ,621523246.20 ,22651.56 ,24930.37 ,621523246.20 ,12.82 ,7.51 ,56.44 ,1877.27 ,1235.61 ,1526736.02 ,3,0
9.69 ,6.98 ,48.68 ,1,19493.82 ,22986.06 ,528358797.70 ,19493.82 ,22986.06 ,528358797.70 ,15.32 ,9.49 ,90.13 ,2217.23 ,1463.99 ,2143254.72 ,3,0
9.63 ,4.17 ,17.40 ,1,17649.94 ,19395.02 ,376166601.10 ,17649.94 ,19395.02 ,376166601.10 ,16.56 ,4.88 ,23.80 ,2677.06 ,855.42 ,731738.50 ,3,0
26.43 ,38.15 ,1455.63 ,2,20736.30 ,24962.87 ,623144867.10 ,20736.30 ,24962.87 ,623144867.10 ,15.40 ,9.50 ,90.31 ,2577.40 ,2134.43 ,4555790.04 ,3,0
14.71 ,22.20 ,492.67 ,3,21207.97 ,25258.19 ,637975897.50 ,21207.26 ,25258.62 ,637997742.50 ,11.31 ,8.34 ,69.47 ,1880.22 ,1567.51 ,2457094.48 ,3,0
