B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,A1,A2,class
15.45176923,18.11586843,328.1846888,19691.03846,23764.50391,564751646,19691.03846,23764.50391,564751646,14.53846154,8.134592653,66.17159763,2422.269231,1934.289266,3741474.966,1,3,0
14.5263,8.453139051,71.45555981,22161,24893.69142,619695872.7,22161,24893.69142,619695872.7,17.35,8.144169694,66.3275,2508.6,1328.8257,1765777.74,1,3,0
8.153777778,7.075560367,50.06355451,20566.83333,23127.60803,534886253.4,20566.83333,23127.60803,534886253.4,12.63888889,9.241070097,85.39737654,1857.972222,1441.350745,2077491.971,1,3,0
24.79835294,33.03248381,1091.144986,17305.44118,20228.27504,409183111.2,16516.09706,20232.26279,409344457.5,13.70588235,7.744179643,59.97231834,2538.911765,2147.063951,4609883.61,1,3,0
8.988666667,6.236130041,38.88931789,16003.95833,20881.77544,436048545.5,16003.95833,20881.77544,436048545.5,13.16666667,7.9982637,63.97222222,2119.208333,1384.467256,1916749.582,1,3,0
13.43014286,27.58464056,760.9123947,18286.16667,21889.69723,479158844.9,17348.67381,21747.58862,472957611,11.76190476,9.453670297,89.37188209,1717.119048,1525.715214,2327806.914,1,3,0
30.714125,47.66003583,2271.479015,16765.4375,20070.39769,402820863.6,17405.07188,20885.27687,436194789.8,10.625,7.598313958,57.734375,1836.21875,1789.985313,3204047.421,1,3,0
10.48594118,13.28275065,176.4314649,16624.20588,19040.78991,362551680.3,16624.20588,19040.78991,362551680.3,11.20588235,8.202508267,67.28114187,1847.029412,1707.22855,2914629.323,1,3,0
22.22872222,35.9196939,1290.22441,18201.97222,21864.01275,478035053.7,18201.97222,21864.01275,478035053.7,14.13888889,8.85736598,78.4529321,1990.444444,1383.299707,1913518.08,1,3,0
31.47673684,46.80769655,2190.960456,17729.13158,22424.0117,502836300.8,17729.13158,22424.0117,502836300.8,11.52631579,8.813078923,77.67036011,2107.842105,2146.933548,4609323.659,1,3,0
13.5418125,28.47507701,810.8300108,21313.8125,23663.25712,559949737.7,21313.8125,23663.25712,559949737.7,10.4375,8.310150044,69.05859375,1481.3125,1321.105679,1745320.215,1,3,0
8.1299375,5.947254645,35.36983781,23006.59375,23412.54966,548147481.5,23006.59375,23412.54966,548147481.5,11.78125,8.309386165,69.04589844,1849.3125,1447.911631,2096448.09,1,3,0
18.77128571,26.74322817,715.2002532,20908.54762,21918.99316,480442261.1,20908.54762,21918.99316,480442261.1,13.73809524,8.693345906,75.57426304,2253.428571,1776.675563,3156576.054,1,3,0
9.505714286,7.615653892,57.9981842,14893.42857,19264.62905,371125932.4,14893.15357,19264.66315,371127246.3,13.64285714,9.947053712,98.94387755,1887.714286,1446.597877,2092645.418,1,3,0
17.18863636,12.78347709,163.4172864,23577.72727,24904.40807,620229541.4,23577.72727,24904.40807,620229541.4,18.90909091,5.907692142,34.90082645,2930.363636,1132.819794,1283280.686,1,3,0
12.99857895,26.41503353,697.7539963,20014.81579,23609.78027,557421724.4,20014.81579,23609.78027,557421724.4,11.55263158,8.656294845,74.93144044,1690.894737,1336.118865,1785213.62,1,3,0
8.929473684,11.54125864,133.2006509,14899.57895,19357.36231,374707475.5,13860.79737,18963.75797,359624116.3,10,9.011688317,81.21052632,1662.447368,1984.21636,3937114.563,1,3,0
27.40591667,38.07609416,1449.788947,19561.41667,22927.7328,525680931.2,19561.41667,22927.7328,525680931.2,11.41666667,6.842980994,46.82638889,2237.083333,1878.479037,3528683.493,1,3,0
39.36633333,51.26411535,2628.009523,21369.95833,22207.49161,493172683.5,21369.95833,22207.49161,493172683.5,12.91666667,5.423073135,29.40972222,2690.458333,2273.747164,5169926.165,1,3,0
13.7899375,28.6330388,819.8509107,18301.125,21136.13053,446736013.9,18300.60313,21136.43249,446748778.3,11.53125,8.678221214,75.31152344,1739.3125,1336.217526,1785477.277,1,3,0
21.355375,34.67476458,1202.339299,19663.40625,22449.58693,503983953.1,18655.54063,22500.26643,506261989.5,10.65625,9.891945508,97.85058594,1732.5,1970.824589,3884149.563,1,3,0
15.75594444,26.28233356,690.7610574,18147.38889,21537.02881,463843609.8,18147.38889,21537.02881,463843609.8,14.72222222,8.278523456,68.53395062,2347.333333,1723.898827,2971827.167,1,3,0
9.809666667,7.623158389,58.11254382,20459,23375.92906,546434059.6,20459,23375.92906,546434059.6,14.83333333,8.610394235,74.13888889,2193.5,1292.52989,1670633.517,1,3,0
8.553363636,6.982510597,48.75545423,24471.13636,25579.09839,654290274.4,24471.13636,25579.09839,654290274.4,14.09090909,8.872373316,78.71900826,2040.818182,1332.187116,1774722.512,1,3,0
11.079,7.295662204,53.226687,17835.04167,22506.34572,506535597.6,17835.375,22506.08163,506523710.2,16.5,7.916228058,62.66666667,2417.583333,1189.346596,1414545.326,1,3,0
15.58753333,29.31422144,859.3235784,19174.7,26072.03025,679750761.2,19175.23333,26071.63808,679730312.2,12.43333333,8.436758198,71.17888889,2097.4,1935.166222,3744868.307,1,3,0
26.97784615,41.84639346,1751.120646,15501.88462,20482.74162,419542704.4,15501.88462,20482.74162,419542704.4,12.23076923,8.806936481,77.56213018,2033.884615,1904.533969,3627249.641,1,3,0
